"Elementary, Middle, or High School",CPS Performance Policy Status,CPS Performance Policy Level,Healthy Schools Certified?,Safety Score,Family Involvement Score,Environment Score,Instruction Score,Leaders Score ,Teachers Score,Parent Engagement Score,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students) ,Average Teacher Attendance,Students Taking  Algebra %,Students Passing  Algebra %,9th Grade EXPLORE (2009) ,9th Grade EXPLORE (2010) ,10th Grade PLAN (2009) ,10th Grade PLAN (2010) ,Net Change EXPLORE and PLAN,11th Grade Average ACT (2011) ,Net Change PLAN and ACT,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment (number of students) ,General Services Route ,Freshman on Track Rate %,Ward,Police District
HS,Not on Probation,Level 1,No,98.0,NDA,80.0,77.0,NDA,NDA,NDA,NDA,93.4,0.7,96.1,NDA,NDA,21.2,21.8,23.1,23.2,2,27,3.9,96.4,96.9,82.4,881,33,90.7,27,18
HS,Probation,Level 3,No,41.0,39,43.0,31.0,19,32,NDA,NDA,66.8,19.7,95.4,NDA,NDA,12.2,11.9,13.3,13,0.8,13.8,0.5,6.7,49,51.9,599,37,59.3,28,11
HS,Not on Probation,Level 1,No,99.0,NDA,99.0,88.0,NDA,NDA,57,62,95.7,2.8,96.8,NDA,NDA,22.4,22.2,24.5,24.7,2.3,28.8,4.3,98,97.6,90.7,1053,31,95.9,40,17
HS,Probation,Level 3,No,,NDA,,,NDA,NDA,48,36,79.1,24.4,95.4,NDA,NDA,14,13.3,14.4,14.5,0.5,15.7,1.3,13,87.4,60.4,726,36,78.2,24,15
HS,Not on Probation,Level 2,No,50.0,50,61.0,62.0,48,53,NDA,NDA,88.7,8.1,95.9,NDA,NDA,13.6,13.9,14.9,14.7,1.1,16.9,2,19.6,62.4,65,473,32,91.4,46,19
HS,Not on Probation,Level 2,No,40.0,NDA,25.0,38.0,NDA,NDA,NDA,NDA,84.2,11.1,94.6,98.5,64.1,14.7,14.6,15.6,15.9,1.2,17.8,2.2,33.6,80,78.5,1584,49,73.3,19,22
HS,Probation,Level 3,No,41.0,38,42.0,43.0,32,15,51,43,92.3,16.2,95.6,NDA,NDA,14.3,13.8,15.3,15.7,1.4,16.3,1,14.7,85.3,73.2,550,42,71.1,3,2
HS,Probation,Level 3,No,20.0,NDA,18.0,29.0,NDA,NDA,41,38,75.2,5.8,94.3,NDA,NDA,13.4,13.3,14.3,14.3,0.9,15.2,0.9,13.1,52.5,50,1656,44,67.1,18,8
HS,Probation,Level 3,No,13.0,46,28.0,28.0,52,50,NDA,NDA,84.8,47.1,95.4,NDA,NDA,11.5,11.2,12.9,12.4,0.9,14.1,1.2,10.8,36.2,45.1,458,46,69.5,8,6
HS,Probation,Level 2,No,38.0,NDA,45.0,53.0,NDA,NDA,NDA,NDA,70.1,21.5,95.2,NDA,NDA,12,12.1,13.6,13.1,1.1,14.8,1.2,8.5,NDA,NDA,250,36,56.1,28,15
